Resource type,Cloud Provider ,Alert/Finding Name - VMSS,Equivalent in WIZ ?,Expected Configuration in WIZ ,Is the Rule even relevant  today?,If Obsolete : Reasons,Division/Project,No of supresisons for that particular rule as per Project,VM Ware DocumentationLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud front,AWS,CloudFront distribution should use HTTPS to communicate with application viewers,CloudFront traffic between CloudFront and viewers should use HTTPS only,"When HTTPS protocol policy is enforced between viewers and CloudFront, all communication is encrypted and is more secure compared to non-encrypted HTTP traffic, which is prone to man-in-the-middle attacks.",Yes ,,,"Commodity Insights -7
",https://docs.securestate.vmware.com/rule-docs/cloudfront-distribution-not-using-https,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud front,AWS,CloudFront distribution should use secure SSL protocols for HTTPS communication between CloudFront edge locations and origins,CloudFront distribution should use a custom SSL certificate,Using a custom SSL certificate is recommended to allow access to content through an alternative domain and follow best practices.,Yes ,,,"Commodity Insights -2
Kensho - 1 
SPDJI - 5",https://docs.securestate.vmware.com/rule-docs/cloudfront-distribution-using-insecure-origin-ssl-protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud front,AWS,CloudFront distribution should use security policy with secure SSL protocol,CloudFront distribution with a custom certificate should use TLS version 1.2 or higher,"This rule checks whether the CloudFront distribution, which uses a Custom certificate (and not the AWS default), is using TLS version 2 or higher for connections between Viewers and CloudFront.",,,,Commodity Insights - 6,https://docs.securestate.vmware.com/rule-docs/cloudfront-distribution-using-insecure-ssl-protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Trail ,AWS,CloudTrail log file should be encrypted,CloudTrail logs should be encrypted with SSE-KMS,This rule checks whether the CloudTrail log files are not encrypted at rest with a KMS key (SSE-KMS).,,,,Commodity Insights -39 ,https://docs.securestate.vmware.com/rule-docs/cloudtrail-logs-encrypted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Trail ,AWS,CloudTrail log file validation should be enabled,CloudTrail log file validation should be enabled,Ensure your AWS CloudTrail trails have log file integrity validation enabled.,,,,Commodity Insights -19 ,https://docs.securestate.vmware.com/rule-docs/cloudtrail-log-file-validating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Trail ,AWS,CloudTrail S3 bucket should have access logging enabled,S3 Bucket containing CloudTrail log files should have logging enabled / CloudTrail S3 Bucket has logging disabled,,,,,"Commodity Insights -11
DTS -7
Ratings -53",https://docs.securestate.vmware.com/rule-docs/s3-cloudtrail-no-logging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Trail ,AWS,CloudTrail should be enabled,,This rule checks if the CloudTrail Trail status is Logging.,,,,Ratings - 14 ,https://docs.securestate.vmware.com/rule-docs/cloudtrail-service-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Trail ,AWS,CloudWatch monitoring should be configured for any changes in AWS organizations,CloudWatch Alarm should monitor AWS Organization(We have mutiple controls in WIZ for cloud watch Alarm),"This rule checks whether a CloudWatch log metric filter and alarm exist for AWS Organization changes.
This rule fails if the Alarm's Metric filter pattern is not configured with one of the following values:
organizations.amazonaws.com, AcceptHandshake, AttachPolicy, CreateAccount, PutBucketLifecycle, CreateOrganizationalUnit, CreatePolicy, DeclineHandshake, DeleteOrganization, DeleteOrganizationalUnit, DeletePolicy, DetachPolicy, DisablePolicyType, EnablePolicyType, InviteAccountToOrganization, LeaveOrganization, MoveAccount, RemoveAccountFromOrganization, UpdatePolicy, UpdateOrganizationalUnit",,,,"Commodity Insights -50 
DTS -28
Ratings -18
SPDJI -10
MI - 1
Sustainable1 - 8",https://docs.securestate.vmware.com/rule-docs/monitor-aws-organizations-changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Trail ,AWS,S3 bucket should have object level logging enabled for read events,S3 Bucket containing CloudTrail log files should have logging enabled/CloudTrail logging should be enabled in all regions - Account level,"This rule checks whether CloudTrail at the account level is configured as multi-region, global service logging is enabled, and management events are configured for all read/write operations.",,,,"Commodity Insights -45
DTS -19
Ratings -57
SPDJI -4",https://docs.securestate.vmware.com/rule-docs/s3-cloudtrail-read-events-logging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Trail ,AWS,S3 bucket should have object level logging enabled for write events,S3 Bucket containing CloudTrail log files should have logging enabled/CloudTrail logging should be enabled in all regions - Account level,"This rule checks whether CloudTrail at the account level is configured as multi-region, global service logging is enabled, and management events are configured for all read/write operations.",,,,"Commodity Insights -46
DTS -19
Ratings -57
SPDJI -4",https://docs.securestate.vmware.com/rule-docs/s3-cloudtrail-write-events-logging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
